run_id,design_id,variant,seed,batch_size,d_model,depth,lr,d_ff,max_len,n_heads,linformer_k,linformer_sharing,attn_dropout,dropout,sparse_pattern,sparse_stride,compute_dtype,epochs,task
d000_vanilla_s0,0,vanilla,0,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_vanilla_s1,0,vanilla,1,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_vanilla_s2,0,vanilla,2,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_flash_s0,0,flash,0,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_flash_s1,0,flash,1,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_flash_s2,0,flash,2,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_linformer_s0,0,linformer,0,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_linformer_s1,0,linformer,1,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_linformer_s2,0,linformer,2,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_linear_s0,0,linear,0,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_linear_s1,0,linear,1,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_linear_s2,0,linear,2,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_sparse_s0,0,sparse,0,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_sparse_s1,0,sparse,1,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d000_sparse_s2,0,sparse,2,16,256,4,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_vanilla_s0,1,vanilla,0,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_vanilla_s1,1,vanilla,1,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_vanilla_s2,1,vanilla,2,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_flash_s0,1,flash,0,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_flash_s1,1,flash,1,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_flash_s2,1,flash,2,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_linformer_s0,1,linformer,0,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_linformer_s1,1,linformer,1,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_linformer_s2,1,linformer,2,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_linear_s0,1,linear,0,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_linear_s1,1,linear,1,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_linear_s2,1,linear,2,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_sparse_s0,1,sparse,0,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_sparse_s1,1,sparse,1,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d001_sparse_s2,1,sparse,2,16,256,4,0.001,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d002_vanilla_s0,2,vanilla,0,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
d002_vanilla_s1,2,vanilla,1,16,256,6,0.0003,1024,2000,8,256,layerwise,0.0,0.1,fixed,45,bf16,20,listops
